date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:26:10	58689/58689	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:16%20GMT	https://walls.io/features-and-pricing	C:/My%20Web%20Sites/ht6/walls.io/features-and-pricing.html	(from https://walls.io/)
13:26:10	24377/24377	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:16%20GMT	https://walls.io/contact	C:/My%20Web%20Sites/ht6/walls.io/contact.html	(from https://walls.io/)
13:26:10	23370/23370	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:17%20GMT	https://walls.io/sign-up	C:/My%20Web%20Sites/ht6/walls.io/sign-up.html	(from https://walls.io/)
13:26:11	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2026%20Aug%202017%2017:26:17%20GMT	https://walls.io/my-walls	C:/My%20Web%20Sites/ht6/walls.io/my-walls	(from https://walls.io/)
13:26:11	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2026%20Aug%202017%2017:26:17%20GMT	https://walls.io/my-walls	C:/My%20Web%20Sites/ht6/walls.io/my-walls	(from https://walls.io/)
13:26:11	67267/67267	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:18%20GMT	https://walls.io/hashtag-campaigns	C:/My%20Web%20Sites/ht6/walls.io/hashtag-campaigns.html	(from https://walls.io/)
13:26:11	60270/60270	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:18%20GMT	https://walls.io/events	C:/My%20Web%20Sites/ht6/walls.io/events.html	(from https://walls.io/)
13:26:12	66512/66512	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:18%20GMT	https://walls.io/brands	C:/My%20Web%20Sites/ht6/walls.io/brands.html	(from https://walls.io/)
13:26:12	59424/59424	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:18%20GMT	https://walls.io/twitter-walls	C:/My%20Web%20Sites/ht6/walls.io/twitter-walls.html	(from https://walls.io/)
13:26:12	66533/66533	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:19%20GMT	https://walls.io/instagram-hashtag-walls	C:/My%20Web%20Sites/ht6/walls.io/instagram-hashtag-walls.html	(from https://walls.io/)
13:26:12	62058/62058	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:19%20GMT	https://walls.io/wedding-hashtag-walls	C:/My%20Web%20Sites/ht6/walls.io/wedding-hashtag-walls.html	(from https://walls.io/)
13:26:13	63927/63927	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:19%20GMT	https://walls.io/api-projects	C:/My%20Web%20Sites/ht6/walls.io/api-projects.html	(from https://walls.io/)
13:26:13	60586/60586	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:19%20GMT	https://walls.io/branding-and-presskit	C:/My%20Web%20Sites/ht6/walls.io/branding-and-presskit.html	(from https://walls.io/)
13:26:13	48162/48162	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:20%20GMT	https://walls.io/terms	C:/My%20Web%20Sites/ht6/walls.io/terms.html	(from https://walls.io/)
13:26:14	36081/36081	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:20%20GMT	https://walls.io/privacy	C:/My%20Web%20Sites/ht6/walls.io/privacy.html	(from https://walls.io/)
13:26:14	47411/47411	---M--	200	added ('OK')	image/jpeg	etag:%2258da220a-b933%22	https://walls.io/build/img/fallback-hashtag-video-walls.io.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/fallback-hashtag-video-walls.io.jpg	(from https://walls.io/)
13:26:15	2566/2566	---MCZ	200	added ('OK')	text/vtt	etag:W/%2258f7336c-a06%22	https://walls.io/build/video/captions/home-sub.vtt	C:/My%20Web%20Sites/ht6/walls.io/build/video/captions/home-sub.vtt	(from https://walls.io/)
13:26:15	29973/29973	---M--	200	added ('OK')	image/png	etag:%2259918e46-7515%22	https://walls.io/build/img/all-social-media-platforms-channels.png	C:/My%20Web%20Sites/ht6/walls.io/build/img/all-social-media-platforms-channels.png	(from https://walls.io/)
13:26:15	5439/5439	---M--	200	added ('OK')	image/png	etag:%2258da220a-153f%22	https://walls.io/build/img/walls.io-social-media-marketing.png	C:/My%20Web%20Sites/ht6/walls.io/build/img/walls.io-social-media-marketing.png	(from https://walls.io/)
13:26:15	33795/33795	---M--	200	added ('OK')	image/png	etag:%2259918e46-8403%22	https://walls.io/build/img/social-wall-twitter-wall-widget.png	C:/My%20Web%20Sites/ht6/walls.io/build/img/social-wall-twitter-wall-widget.png	(from https://walls.io/)
13:26:15	45949/45949	---M--	200	added ('OK')	image/png	etag:%2259918e46-b37d%22	https://walls.io/build/img/hashtag-campaigns-social-marketing-walls.io.png	C:/My%20Web%20Sites/ht6/walls.io/build/img/hashtag-campaigns-social-marketing-walls.io.png	(from https://walls.io/)
13:26:16	82396/82396	---M--	200	added ('OK')	image/png	etag:%2259918e46-141dc%22	https://walls.io/build/img/event-wall-twitter-wall-audience-walls.io.png	C:/My%20Web%20Sites/ht6/walls.io/build/img/event-wall-twitter-wall-audience-walls.io.png	(from https://walls.io/)
13:26:16	39590/39590	---M--	200	added ('OK')	image/png	etag:%2259918e46-9aa6%22	https://walls.io/build/img/brand-widget-awareness-social-media-hub-walls.io.png	C:/My%20Web%20Sites/ht6/walls.io/build/img/brand-widget-awareness-social-media-hub-walls.io.png	(from https://walls.io/)
13:26:16	14732/14732	---M--	200	added ('OK')	image/png	etag:%2258da220a-398c%22	https://walls.io/build/img/api-access-social-content-visualize-walls.io.png	C:/My%20Web%20Sites/ht6/walls.io/build/img/api-access-social-content-visualize-walls.io.png	(from https://walls.io/)
13:26:16	7628/7628	---M--	200	added ('OK')	image/jpeg	etag:%2258b56144-1dcc%22	https://walls.io/build/img/social-wall-em2016.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/social-wall-em2016.jpg	(from https://walls.io/)
13:26:17	12682/12682	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:23%20GMT	https://walls.io/pokemongo	C:/My%20Web%20Sites/ht6/walls.io/pokemongo.html	(from https://walls.io/)
13:26:17	12908/12908	---M--	200	added ('OK')	image/jpeg	etag:%2258b56144-326c%22	https://walls.io/build/img/social-wall-pokemon.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/social-wall-pokemon.jpg	(from https://walls.io/)
13:26:17	10456/10456	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:24%20GMT	https://walls.io/starbucks	C:/My%20Web%20Sites/ht6/walls.io/starbucks.html	(from https://walls.io/)
13:26:18	18472/18472	---M--	200	added ('OK')	image/jpeg	etag:%2258b56144-4828%22	https://walls.io/build/img/social-wall-starbucks.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/social-wall-starbucks.jpg	(from https://walls.io/)
13:26:18	12098/12098	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:24%20GMT	https://walls.io/barcamp	C:/My%20Web%20Sites/ht6/walls.io/barcamp.html	(from https://walls.io/)
13:26:18	24174/24174	---M--	200	added ('OK')	image/jpeg	etag:%2258b56144-5e6e%22	https://walls.io/build/img/social-wall-barcamps.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/social-wall-barcamps.jpg	(from https://walls.io/)
13:26:19	6999/6999	---M--	200	added ('OK')	image/jpeg	etag:%2258b56144-1b57%22	https://walls.io/build/img/walls.io-twitter-wall-price.jpg	C:/My%20Web%20Sites/ht6/walls.io/build/img/walls.io-twitter-wall-price.jpg	(from https://walls.io/)
13:26:19	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2026%20Aug%202017%2017:26:26%20GMT	https://walls.io/payment/start/pro	C:/My%20Web%20Sites/ht6/walls.io/payment/start/pro	(from https://walls.io/)
13:26:22	10388/10388	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202017%2017:26:26%20GMT	https://walls.io/register	C:/My%20Web%20Sites/ht6/walls.io/register.html	(from https://walls.io/)
13:26:22	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2026%20Aug%202017%2017:26:26%20GMT	https://walls.io/payment/start/premium	C:/My%20Web%20Sites/ht6/walls.io/payment/start/premium	(from https://walls.io/)
13:26:24	16848/16848	---M--	200	added ('OK')	image/jpeg	etag:W/%22PSA-2GuVTfiY1Z%22	https://blog.walls.io/wp-content/uploads/sites/12/2017/07/Custom-Social-Media-Wall-API-Integration-%e2%80%94-Turning-Facebook-Posts-into-Travel-Booking-Offers--512x269.jpg	C:/My%20Web%20Sites/ht6/blog.walls.io/wp-content/uploads/sites/12/2017/07/Custom-Social-Media-Wall-API-Integration-%e2%80%94-Turning-Facebook-Posts-into-Travel-Booking-Offers--512x269.jpg	(from https://walls.io/)
13:26:24	11560/11560	---M--	200	added ('OK')	image/jpeg	etag:W/%22PSA-zGfBZUUkXl%22	https://blog.walls.io/wp-content/uploads/sites/12/2017/08/controller-512x269.jpg	C:/My%20Web%20Sites/ht6/blog.walls.io/wp-content/uploads/sites/12/2017/08/controller-512x269.jpg	(from https://walls.io/)
